id,title,exam,level,product,category,description,url_en,url_ja,duration,status
rhcsa,Red Hat Certified System Administrator,EX200,Level 200,RHEL,RHEL,Validates core system administration skills for Red Hat Enterprise Linux environments.,https://www.redhat.com/en/services/training/ex200-red-hat-certified-system-administrator-rhcsa-exam,https://www.redhat.com/ja/services/training/ex200-red-hat-certified-system-administrator-rhcsa-exam,3h,Active
ex342,Red Hat Certified Specialist in Enterprise Linux Diagnostics and Troubleshooting,EX342,Level 300,,RHEL,,https://www.redhat.com/en/services/training/ex342-red-hat-certified-specialist-linux-diagnostics-and-troubleshooting,https://www.redhat.com/ja/services/training/ex342-red-hat-%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%91%E3%83%BC%E3%83%88%E8%A9%A6%E9%A8%93-red-hat-enterprise-linux-diagnostics-and-troubleshooting,4h,Active
ex210,Red Hat Certified Specialist in Cloud Infrastructure,EX210,Level 200,,RHEL,,https://www.redhat.com/en/services/training/ex210-red-hat-certified-system-administrator-red-hat-openstack-exam,https://www.redhat.com/ja/services/training/ex210-red-hat-certified-system-administrator-red-hat-openstack-exam,4h,Active
ex260,Red Hat Certified Specialist in Ceph Cloud Storage,EX260,Level 200,,RHEL,,https://www.redhat.com/en/services/training/ex260-red-hat-certified-specialist-in-ceph-cloud-storage-exam,https://www.redhat.com/ja/services/training/ex260-red-hat-certified-specialist-in-ceph-cloud-storage-exam,3h,Active
ex358,Red Hat Certified Specialist in Services Management and Automation,EX358,Level 300,,RHEL,,https://www.redhat.com/en/services/training/ex358-red-hat-certified-specialist-services-management-automation-exam,https://www.redhat.com/ja/services/training/ex358-red-hat-certified-specialist-services-management-automation-exam,4h,Active
ex362,Red Hat Certified Specialist in Identity Management,EX362,Level 300,,RHEL,,https://www.redhat.com/en/services/training/ex362-red-hat-certified-specialist-identity-management-exam,https://www.redhat.com/ja/services/training/ex362-red-hat-certified-specialist-identity-management-exam,3h,Active
ex403,Red Hat Certified Specialist in Deployment and Systems Management,EX403,Level 400,Satellite,RHEL,Tests skills in deploying and managing systems using Red Hat Satellite.,https://www.redhat.com/en/services/training/ex403-red-hat-certificate-expertise-deployment-systems-management-exam,https://www.redhat.com/ja/services/training/ex403-red-hat-certificate-expertise-deployment-systems-management-exam,4h,Active
ex415,Red Hat Certified Specialist in Security: Linux,EX415,Level 400,,RHEL,,https://www.redhat.com/en/services/training/ex415-red-hat-certified-specialist-security-linux-exam,https://www.redhat.com/ja/services/training/ex415-red-hat-certified-specialist-security-linux-exam,4h,Active
ex436,Red Hat Certified Specialist in High Availability Clustering,EX436,Level 400,,RHEL,,https://www.redhat.com/en/services/training/ex436-red-hat-certificate-expertise-clustering-and-storage-management-exam,https://www.redhat.com/ja/services/training/ex436-red-hat-certificate-expertise-clustering-and-storage-management-exam,3h,Active
ex442,Red Hat Certified Specialist in Performance Tuning,EX442,Level 400,,RHEL,,https://www.redhat.com/en/services/training/ex442-red-hat-certificate-expertise-performance-tuning-exam,https://www.redhat.com/ja/services/training/ex442-red-hat-certificate-expertise-performance-tuning-exam,4h,Active
rhce,Red Hat Certified Engineer,EX294,Level 200,RHEL / Ansible,Ansible,Focuses on automation with Ansible and advanced system administration tasks.,https://www.redhat.com/en/services/training/ex294-red-hat-certified-engineer-rhce-exam-red-hat-enterprise-linux-9,https://www.redhat.com/ja/services/training/ex294-red-hat-certified-engineer-rhce-exam-red-hat-enterprise-linux-9,4h,Active
ex336,Red Hat Certified Specialist in Automating OpenShift Virtual Machine Migration Exam,EX336,Level 300,,Ansible,,https://www.redhat.com/en/services/training/ex336-red-hat-certified-specialist-automating-openshift-virtual-machine-management-exam,https://www.redhat.com/ja/services/training/ex336-red-hat-certified-specialist-automating-openshift-virtual-machine-management-exam,4h,Active
ex374,Red Hat Certified Specialist in Developing Automation with Ansible Automation Platform,EX374,Level 300,,Ansible,,https://www.redhat.com/en/services/training/ex374-red-hat-certified-specialist-developing-automation-ansible-automation-platform-exam,https://www.redhat.com/ja/services/training/ex374-red-hat-certified-specialist-developing-automation-ansible-automation-platform-exam,4h,Active
ex417,Red Hat Certified Specialist in Microsoft Windows Automation with Ansible Exam,EX417,Level 400,,Ansible,,https://www.redhat.com/en/services/training/ex417-red-hat-certified-specialist-microsoft-windows-automation-ansible-exam,https://www.redhat.com/ja/services/training/ex417-red-hat-certified-specialist-microsoft-windows-automation-ansible-exam,4h,Active
ex457,Red Hat Certified Specialist in Ansible Network Automation,EX457,Level 400,,Ansible,,https://www.redhat.com/en/services/training/ex457-red-hat-certified-specialist-in-ansible-network-automation-exam,https://www.redhat.com/ja/services/training/ex457-red-hat-certified-specialist-in-ansible-network-automation-exam,4h,Active
ex467,Red Hat Certified Specialist in Managing Automation with Ansible Automation Platform Exam,EX467,Level 400,,Ansible,,https://www.redhat.com/en/services/training/ex467-red-hat-certified-specialist-managing-automation-ansible-automation-platform-exam,https://www.redhat.com/ja/services/training/ex467-red-hat-certified-specialist-managing-automation-ansible-automation-platform-exam,4h,Active
ex180,Red Hat Certified Technologist in OpenShift,EX180,Level 100,OpenShift,OpenShift,,https://www.redhat.com/en/services/training/ex180-red-hat-certified-technologist-in-openshift-exam,https://www.redhat.com/ja/services/training/ex180-red-hat-certified-technologist-in-openshift-exam,,Active
ex156,Red Hat Certified Technologist in OpenShift Virtualization,EX156,Level 100,OpenShift Virtualization,OpenShift,,https://www.redhat.com/en/services/training/ex156-red-hat-certified-technologist-in-openshift-virtualization,https://www.redhat.com/ja/services/training/ex156-red-hat-certified-technologist-in-openshift-virtualization,,Active
ex280,Red Hat Certified Specialist in OpenShift Administration,EX280,Level 200,OpenShift,OpenShift,Demonstrates knowledge in managing OpenShift Container Platform clusters.,https://www.redhat.com/en/services/training/red-hat-certified-openshift-administrator-exam,https://www.redhat.com/ja/services/training/red-hat-certified-openshift-administrator-exam,3h,Active
ex380,Red Hat Certified Specialist in OpenShift Automation and Integration,EX380,Level 300,,OpenShift,,https://www.redhat.com/en/services/training/ex380-certified-specialist-openshift-automation-exam,https://www.redhat.com/ja/services/training/ex380-certified-specialist-openshift-automation-exam,4h,Active
ex316,Red Hat Certified Specialist in OpenShift Virtualization,EX316,Level 300,OpenShift Virtualization,OpenShift,"Skills to plan, deploy and manage virtual machines using the OpenShift Virtualization operator in OCP.",https://www.redhat.com/en/services/training/red-hat-certified-specialist-openshift-virtualization-ex316,https://www.redhat.com/ja/services/training/red-hat-certified-specialist-openshift-virtualization-ex316,4h,Active
ex370,Red Hat Certified Specialist in OpenShift Data Foundation,EX370,Level 300,,OpenShift,,https://www.redhat.com/en/services/training/ex370-red-hat-certified-specialist-in-openshift-data-foundation-exam,https://www.redhat.com/ja/services/training/ex370-red-hat-certified-specialist-in-openshift-data-foundation-exam,3h,Active
ex430,Red Hat Certified Specialist in OpenShift Advanced Cluster Security Exam,EX430,Level 400,,OpenShift,,https://www.redhat.com/en/services/training/ex430-red-hat-certified-specialist-openshift-advanced-cluster-security-exam,https://www.redhat.com/ja/services/training/ex430-red-hat-certified-specialist-openshift-advanced-cluster-security-exam,4h,Active
ex432,Red Hat Certified Specialist in MultiCluster Management with Advanced Cluster Management,EX432,Level 400,,OpenShift,,https://www.redhat.com/en/services/training/ex432-red-hat-certified-specialist-openshift-advanced-cluster-management-exam,https://www.redhat.com/ja/services/training/ex432-red-hat-certified-specialist-openshift-advanced-cluster-management-exam,,Active
ex229,Red Hat Certified Specialist in ROSA,EX229,Level 200,ROSA,OpenShift,Covers skills to deploy and manage Red Hat OpenShift Service on AWS (ROSA).,https://www.redhat.com/en/services/training/red-hat-certified-specialist-rosa,https://www.redhat.com/ja/services/training/red-hat-certified-specialist-rosa,4h,Retired
